RowID,Scenario,Timestamp,KnownAttackProbability,BinaryDecisionThreshold,BinaryPrediction,PredictedAttackFamily,FamilyConfidence,AnomalyScore,AnomalyThreshold,AnomalyMargin,AnomalyFlag,AlertSeverity,AlertReason,MITRETactic,MITRETechniqueID,MITRETechniqueName,MITREReference,MITREMappingNote,GroundTruth,SourceIP,DestinationIP,SourcePort,ProtocolNumber,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0,portscan_rate_limited,2026-08-14 11:22:15,0.0036083379334984414,0.42000000000000004,BENIGN,Not run,,0.37371964986115347,0.5244398115658198,-0.1507201617046663,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,199.0,100.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,1740000.0,30000.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20000.0,10000.0,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,portscan_rate_limited,2026-08-14 11:22:15,0.0031995432817966954,0.42000000000000004,BENIGN,Not run,,0.3779401559519946,0.5244398115658198,-0.14649965561382516,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,139.0,29.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,6000000.0,103448.27,14.5,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,68965.516,34482.758,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,portscan_rate_limited,2026-08-14 11:22:15,0.0016431618486759893,0.42000000000000004,BENIGN,Not run,,0.37421633332507126,0.5244398115658198,-0.1502234782407485,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,256.0,87.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,2000000.0,34482.758,43.5,43.5,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,22988.506,11494.253,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,portscan_rate_limited,2026-08-14 11:22:15,0.007367896808496477,0.42000000000000004,BENIGN,Not run,,0.3774763760297955,0.5244398115658198,-0.14696343553602426,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,53.0,38.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4578947.5,78947.37,19.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,52631.58,26315.79,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,portscan_rate_limited,2026-08-14 11:22:15,0.010045483778851125,0.42000000000000004,BENIGN,Not run,,0.3779401559519946,0.5244398115658198,-0.14649965561382516,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,21.0,30.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5800000.0,100000.0,15.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,66666.664,33333.332,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,portscan_rate_limited,2026-08-14 11:22:15,0.0033999358096058656,0.42000000000000004,BENIGN,Not run,,0.3760501261783683,0.5244398115658198,-0.14838968538745145,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,113.0,52.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,3346153.8,57692.31,26.0,26.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,38461.54,19230.77,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,portscan_rate_limited,2026-08-14 11:22:15,0.0013904898896183707,0.42000000000000004,BENIGN,Not run,,0.3779401559519946,0.5244398115658198,-0.14649965561382516,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,443.0,30.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5800000.0,100000.0,15.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,66666.664,33333.332,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,portscan_rate_limited,2026-08-14 11:22:15,0.0033999358096058656,0.42000000000000004,BENIGN,Not run,,0.3774763760297955,0.5244398115658198,-0.14696343553602426,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,110.0,36.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4833333.5,83333.336,18.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,55555.555,27777.777,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,portscan_rate_limited,2026-08-14 11:22:15,0.007367896808496477,0.42000000000000004,BENIGN,Not run,,0.3774763760297955,0.5244398115658198,-0.14696343553602426,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,25.0,35.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4971428.5,85714.29,17.5,17.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,57142.855,28571.428,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,portscan_rate_limited,2026-08-14 11:22:15,0.0031995432817966954,0.42000000000000004,BENIGN,Not run,,0.3779401559519946,0.5244398115658198,-0.14649965561382516,False,Low,No known attack pattern and no anomaly flag,,,,,No ATT&CK enrichment is applied to non-alerting traffic.,PORT SCAN,192.168.244.10,192.168.244.20,44295,6,135.0,29.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,6000000.0,103448.27,14.5,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,68965.516,34482.758,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
